6,3,3,0.5,4,1,1,0.25,16.275,16.259,70,4,15,3,9,0.2,4,1,1,0.25,16.153,16.044,87,8,0
6,3,3,0.5,4,1,1,0.25,16.275,16.259,70,4,10,1,8,0.1,8,0,1,0.0,16.191,16.176,57,7,0
21,3,9,0.143,13,2,5,0.154,16.226,16.209,62,5,15,3,9,0.2,4,1,1,0.25,16.153,16.044,87,8,0
21,3,9,0.143,13,2,5,0.154,16.226,16.209,62,5,10,1,8,0.1,8,0,1,0.0,16.191,16.176,57,7,0
95,19,12,0.2,40,5,13,0.125,16.096,15.936,126,8,17,7,6,0.412,2,1,1,0.5,16.966,16.316,60,4,1
92,21,15,0.228,28,3,13,0.107,16.238,16.179,110,7,17,7,6,0.412,2,1,1,0.5,16.966,16.316,60,4,1
55,10,15,0.182,27,1,10,0.037,16.051,16.035,97,18,36,7,9,0.194,6,2,1,0.333,15.866,16.048,80,5,0
55,10,15,0.182,27,1,10,0.037,16.051,16.035,97,18,54,5,15,0.093,33,5,13,0.152,15.624,15.593,81,7,0
42,9,17,0.214,11,1,1,0.091,16.541,17.701,91,7,70,17,8,0.243,31,6,13,0.194,16.114,16.115,120,5,1
42,9,17,0.214,11,1,1,0.091,16.541,17.701,91,7,90,17,12,0.189,11,4,2,0.364,16.34,16.066,139,7,1
84,15,10,0.179,1,0,1,0.0,16.644,15.666,170,16,8,3,4,0.375,1,0,1,0.0,16.039,16.187,73,9,0
84,15,10,0.179,1,0,1,0.0,16.644,15.666,170,16,16,3,7,0.188,3,0,1,0.0,16.001,16.133,66,5,0
45,10,13,0.222,9,0,1,0.0,17.028,16.124,94,7,90,11,21,0.122,7,2,3,0.286,16.108,15.845,99,7,1
37,6,17,0.162,5,1,2,0.2,15.977,16.131,94,7,143,27,13,0.189,5,1,1,0.2,16.166,15.879,152,7,1
37,6,17,0.162,5,1,2,0.2,15.977,16.131,94,7,16,6,4,0.375,5,3,1,0.6,16.198,16.313,120,12,1
83,15,14,0.181,30,5,14,0.167,15.859,15.868,119,6,36,9,6,0.25,3,0,1,0.0,16.621,16.066,94,12,1
30,9,7,0.3,9,2,2,0.222,16.762,18.33,94,7,48,9,16,0.188,23,3,13,0.13,15.7,15.775,69,7,0
30,9,7,0.3,9,2,2,0.222,16.762,18.33,94,7,11,2,8,0.182,6,0,1,0.0,16.23,16.321,61,7,0
19,2,10,0.105,6,1,3,0.167,15.987,16.016,63,7,48,9,16,0.188,23,3,13,0.13,15.7,15.775,69,7,0
19,2,10,0.105,6,1,3,0.167,15.987,16.016,63,7,11,2,8,0.182,6,0,1,0.0,16.23,16.321,61,7,0
91,13,15,0.143,27,4,4,0.148,16.102,16.036,135,5,48,9,16,0.188,23,3,13,0.13,15.7,15.775,69,7,0
91,13,15,0.143,27,4,4,0.148,16.102,16.036,135,5,11,2,8,0.182,6,0,1,0.0,16.23,16.321,61,7,0
80,15,16,0.188,14,1,8,0.071,17.218,17.456,133,11,78,14,19,0.179,5,1,2,0.2,16.132,15.97,105,6,1
34,7,9,0.206,3,0,1,0.0,15.797,15.88,69,7,26,9,4,0.346,16,5,4,0.313,16.159,16.152,133,8,1
20,5,4,0.25,7,0,1,0.0,16.327,16.473,64,7,55,9,17,0.164,1,0,1,0.0,16.118,15.947,90,7,0
58,13,12,0.224,22,5,5,0.227,16.198,15.938,90,6,47,13,5,0.277,19,7,3,0.368,16.619,16.652,132,11,1
94,17,11,0.181,30,3,10,0.1,16.112,15.996,133,5,47,13,5,0.277,19,7,3,0.368,16.619,16.652,132,11,1
5,3,1,0.6,2,1,1,0.5,15.718,15.72,71,6,54,10,9,0.185,27,7,4,0.259,15.936,15.977,111,5,0
5,3,1,0.6,2,1,1,0.5,15.718,15.72,71,6,104,24,11,0.231,37,6,9,0.162,16.182,16.104,160,10,0
33,7,5,0.212,3,0,1,0.0,16.375,16.449,94,4,44,7,11,0.159,27,6,7,0.222,15.847,15.826,104,7,1
14,1,12,0.071,9,0,1,0.0,15.573,15.502,86,6,34,6,4,0.176,10,2,4,0.2,16.233,15.745,96,5,0
