1,0,4,5,0,3,2,4.65,33.0,1.0,7,1
4,0,1,4,1,1,4,3.6,34.0,4.0,14,0
1,2,2,3,2,3,2,2.11,26.1,2.0,6,0
0,2,3,4,1,4,1,2.65,27.6,3.0,18,0
2,1,2,2,3,4,1,4.8,32.3,5.0,7,0
1,0,4,4,1,2,3,5.05,32.6,2.0,7,0
2,1,2,3,2,3,2,7.0,31.0,3.0,7,1
1,2,2,3,2,4,1,2.95,32.2,2.0,7,0
1,1,1,2,1,1,2,6.667,31.4,3.0,26,1
1,3,1,0,5,4,1,3.75,23.5,4.0,11,0
2,2,1,4,1,1,4,6.9,31.5,2.0,4,0
1,1,3,3,2,2,3,3.15,28.1,4.0,7,0
2,2,1,4,1,0,5,7.8,26.2,4.0,4,1
3,1,1,4,1,1,4,3.05,32.6,2.0,7,1
2,1,2,3,2,3,2,3.7,38.0,6.0,7,0
0,2,3,3,2,4,1,3.75,26.7,2.0,8,1
2,1,2,5,0,1,4,5.9,31.0,3.0,7,1
1,3,1,5,0,1,4,6.1,28.5,3.0,12,1
1,0,4,4,1,3,2,2.8,26.2,2.0,7,1
0,1,4,3,2,4,1,2.65,33.4,1.0,8,1
1,1,3,3,2,3,2,4.0,31.4,4.0,8,0
2,2,1,5,0,2,3,2.4,32.5,2.0,10,0
1,2,1,4,0,1,3,4.875,30.6,1.0,7,1
2,2,1,4,1,3,2,4.85,30.6,3.0,18,1
3,1,1,4,1,1,4,5.2,27.7,3.0,11,1
2,2,1,3,2,2,3,3.45,29.2,2.0,7,0
2,0,3,3,2,4,1,5.75,31.2,2.0,6,1
2,1,2,5,0,1,4,3.6,33.6,3.0,9,0
4,0,1,4,1,1,4,7.3,25.7,2.0,7,1
3,2,0,4,1,2,3,3.15,32.9,1.0,10,0
0,0,5,3,2,4,1,3.4,26.2,3.0,7,1
4,0,1,2,3,1,4,9.8,27.4,4.0,7,1
1,1,3,2,3,3,2,2.5,33.9,1.0,9,0
1,1,3,1,4,4,1,4.35,27.3,2.0,4,0
2,1,2,4,1,2,3,3.95,29.1,3.0,7,1
3,0,2,4,1,3,2,2.45,30.1,2.0,5,0
1,2,2,5,0,1,4,5.8,31.0,4.0,11,1
2,2,1,1,4,3,2,2.85,27.9,1.0,7,0
0,0,5,4,1,4,1,3.4,26.4,2.0,4,1
3,2,0,2,3,2,3,3.3,29.3,4.0,10,0
3,1,1,4,1,2,3,4.8,32.3,4.0,8,0
0,0,5,4,1,3,2,5.0,27.8,2.0,7,0
1,0,4,4,1,3,2,3.0,30.7,2.0,9,1
2,1,2,4,1,3,2,3.85,27.9,3.0,4,1
2,2,1,3,2,2,3,2.7,34.6,1.0,7,0
4,1,0,4,1,1,4,5.5,31.9,3.0,7,0
2,3,0,2,3,3,2,5.6,35.0,4.0,8,0
2,0,1,2,1,1,2,4.333,31.9,2.0,9,1
0,3,2,4,1,2,3,3.95,33.9,4.0,9,0
0,1,4,5,0,2,3,5.4,29.9,2.0,9,1
1,1,3,3,2,3,2,2.45,25.9,1.0,10,0
